小節,拍數(onset),調性,和弦級數,和弦編號,備註
1,0,d,D:min,27,NaN
1,2,d,A:maj,10,NaN
2,0,d,G:min,32,NaN
2,2,d,E:dim7,41,半減七和弦
3,0,d,D:min,27,NaN
3,1.5,d,A:7,22,NaN
3,2,d,D:min,27,NaN
4,0,d,A:maj,10,NaN
5,0,d,D:min,27,NaN
5,1,d,C:maj,1,NaN
5,1,F,C:maj,1,NaN
5,2,F,C:maj,1,NaN
6,0,F,F:maj,6,NaN
7,0,F,G:min7,32,NaN
7,1,F,C:maj,1,NaN
7,2,F,F:maj,6,NaN
8,0,F,G:min,32,NaN
8,1,F,F:maj,6,NaN
8,2,F,C:7,13,NaN
9,0,F,F:maj,6,NaN
10,0,d,D:maj,3,second
10,1,d,G:min,32,NaN
10,2,d,D:7,15,second
11,0,d,G:min,32,NaN
11,2,d,G:min,32,NaN
12,0,d,A:maj,10,NaN
12,1,d,D:min,27,NaN
12,2,d,C:dim,37,NaN
13,0,d,D:min,27,NaN
13,2.5,d,C:dim7,37,NaN
14,0,d,D:min,27,NaN
14,2.5,d,C:dim7,37,NaN
15,0,d,D:min,27,NaN
15,2,d,D:7,15,second
16,0,d,D#:maj,4,special: N
16,2.5,d,G#:dim7,45,second
17,0,d,D:min,27,NaN
18,0,d,A:maj,10,NaN
19,0,d,A:maj,10,NaN
