小節,拍數(onset),調性,和弦級數,和弦編號,備註
1,0,G,NCT,0,special: NCT
2,0,G,G:maj,8,NaN
2,1,G,D:maj,3,NaN
2,2,G,G:maj,8,NaN
2,3,G,F#:dim,43,NaN
3,0,G,G:maj,8,NaN
3,3,G,G:maj,8,NaN
4,0,G,C:maj,1,NaN
4,2,G,D:maj,3,NaN
5,0,G,G:maj,8,NaN
6,0,G,G:maj,8,NaN
6,1,G,D:maj,3,NaN
6,2,G,G:maj,8,NaN
6,3,G,F#:dim,43,NaN
7,0,G,G:maj,8,NaN
7,3,G,G:maj,8,NaN
8,0,G,C:maj,1,NaN
8,2,G,D:maj,3,NaN
9,0,G,G:maj,8,NaN
10,0,G,G:maj,8,NaN
10,2,G,C:maj,1,NaN
11,0,G,G:maj,8,NaN
12,0,G,G:maj,8,NaN
12,2,G,C:maj,1,NaN
13,0,G,G:maj,8,NaN
13,2,G,D:7,15,NaN
13,3,G,G:maj,8,NaN
14,0,G,A:min,34,NaN
14,2,G,A:maj,10,second
15,0,G,D:maj,3,NaN
16,0,G,D:maj,3,NaN
17,0,G,G:maj,8,NaN
17,1,G,D:maj,3,NaN
17,2,G,G:maj,8,NaN
17,3,G,F#:dim,43,NaN
18,0,G,G:maj,8,NaN
18,3,G,G:maj,8,NaN
19,0,G,C:maj,1,NaN
19,2,G,D:maj,3,NaN
20,0,G,G:maj,8,NaN
21,0,G,G:maj,8,NaN
21,1,G,D:maj,3,NaN
21,2,G,G:maj,8,NaN
21,3,G,D:7,15,NaN
22,0,G,G:maj,8,NaN
22,1,G,D:7,15,NaN
22,2,G,G:maj,8,NaN
22,3,G,D:7,15,NaN
23,0,G,G:maj,8,NaN
23,1,G,D:maj,3,NaN
23,2,G,G:maj,8,NaN
23,2,D,G:maj,8,NaN
23,3,D,A:7,22,NaN
24,0,D,D:maj,3,NaN
24,1,D,A:7,22,NaN
24,2,D,D:maj,3,NaN
24,3,D,A:7,22,NaN
25,0,D,D:maj,3,NaN
25,1,D,A:7,22,NaN
25,2,D,D:maj,3,NaN
25,3,D,A:7,22,NaN
26,0,D,D:maj,3,NaN
26,1,D,A:maj,10,NaN
26,2,D,D:maj,3,NaN
26,3,D,E:7,17,second
27,0,D,A:maj,10,NaN
27,0,d,A:maj,10,NaN
28,0,d,A:maj,10,NaN
29,0,d,D:min,27,NaN
30,0,d,D:min,27,NaN
31,0,d,A:maj,10,NaN
31,2,d,A:7,22,NaN
32,0,d,A:7,22,NaN
33,0,d,D:min,27,NaN
34,0,d,NCT,0,special: NCT
35,0,d,A:maj,10,NaN
36,0,d,A:maj,10,NaN
36,0,D,A:maj,10,NaN
37,0,D,NCT,0,special: NCT
38,0,D,D:maj,3,NaN
39,0,D,G:maj,8,NaN
40,0,D,A:maj,10,NaN
41,0,D,D:maj,3,NaN
42,0,D,D:maj,3,NaN
43,0,D,G:maj,8,NaN
44,0,D,A:maj,10,NaN
45,0,D,D:maj,3,NaN
46,0,D,D:7,15,second
47,0,D,G:maj,8,NaN
47,3,D,E:min,29,NaN
48,0,D,D:maj,3,NaN
48,3,D,A:7,22,NaN
49,0,D,D:maj,3,NaN
49,2,D,A:maj,10,NaN
