小節,拍數(onset),調性,和弦,和弦編號,備註
1,0,,A:maj,10,
2,0,,A:maj,10,
2,1,,F#:min,31,
2,1.5,,A:maj,10,
3,0,,D:maj,3,
3,1,,A:maj,10,
4,0,,E:dom7,17,
4,1,,A:maj,10,
5,0,,E:dom7,17,
5,1,,A:maj,10,
6,0,,A:maj,10,
6,1,,F#:min,31,
6,1.5,,A:maj,10,
7,0,,D:maj,3,
7,1,,A:maj,10,
8,0,,E:dom7,17,
8,1,,A:maj,10,
9,0,,E:dom7,17,
9,1,,A:maj,10,
9,1.5,,E:maj,5,
10,0,,E:maj,5,
11,0,,F#:dom7,19,
12,0,,B:min,36,
12,1,,G#:hdim,45,
13,0,,C#:maj,2,
13,0.75,,G#:hdim,45,
13,1,,C#:maj,2,
13,1.5,,A:dom7,22,
14,0,,A:dom7,22,
15,0,,D:maj,3,
15,1,,A:maj,10,
16,0,,E:dom7,17,
16,1,,A:maj,10,
17,0,,E:dom7,17,
18,0,,A:maj,10,
