小節,拍數(onset),調性,和弦,和弦編號,備註
1,0,,G:min,32,
1,0.5,,F#:dim,43,
1,1,,G:min,32,
1,2,,D:maj,3,
1,3,,G:min,32,
2,0,,F#:dim,43,
2,1,,G:min,32,
2,2,,A:hdim,46,
2,3,,D:dom7,15,
3,0,,G:min,32,
3,3,,Eb:maj,4,
4,0,,A:hdim,46,
4,0.5,,D:maj,3,
4,1,,C:min,25,
4,2,,F#:dim,43,
4,3,,G:min,32,
5,0,,D:maj,3,
6,0,,D:maj,3,
6,1,,G:min,32,
6,2,,C:maj,1,
6,3,,F:maj,6,
7,0,,Bb:maj,11,
7,1,,G:min7,32,
7,2,,C:dom7,13,
8,0,,F:maj,6,
8,2,,Bb:maj,11,
8,3,,F:maj,6,
9,0,,Bb:maj,11,
9,2,,Eb:maj,4,
9,3,,G:min,32,
10,0,,C:min,25,
10,1,,F:dom7,18,
10,2,,Bb:maj,11,
11,0,,F:maj,6,
11,1,,G:min,32,
11,2,,F:dom7,18,
11,3,,Bb:maj,11,
12,0,,D:dom7,15,
12,1,,G:min,32,
12,2,,D:maj,3,
13,0,,G:min,32,
13,1,,D:maj,3,
13,2,,G:min,32,
13,3,,C:min,25,
13,3.5,,G:min,32,
14,0,,A:hdim,46,
14,1,,D:maj,3,
14,2,,G:maj,8,
