小節,拍數(onset),調性,和弦,和弦編號,備註
1,0,,C:maj,1,
2,0,,X:ger6,0,
2,0.5,,G:maj,8,
2,1,,X:it6,0,
3,0,,X:it6,0,
3,0.5,,G:maj,8,
3,1,,X:it6,0,
4,0,,X:it6,0,
4,0.5,,G:dom7,20,
4,1,,X:ger6,0,
4,1.5,,G:maj,8,
5,0,,X:ger6,0,
5,0.5,,G:dom7,20,
5,1,,X:ger6,0,
5,1.5,,G:maj,8,
6,0,,C:dom7,13,
7,0,,A:dom7,22,
8,0,,C#:dim,38,
8,0.5,,D:min,27,
8,1,,C#:fdim,38,
8,1.5,,D:min,27,
9,0,,C#:fdim,38,
9,0.5,,D:min,27,
9,1,,C#:fdim,38,
9,1.5,,D:min,27,
10,0,,D:min,27,
10,0.5,,F#:fdim,43,
11,0,,F#:fdim,43,
11,1.5,,G:maj,8,
12,0,,C:maj,1,
