小節,拍數(onset),調性,和弦,和弦編號,備註
1,0,,G:maj,8,
2,0,,G:maj,8,
2,2.75,,E:min,29,
3,0,,E:min,29,
3,2,,A:min,34,
4,0,,D:maj,3,
4,0.75,,A:min,34,
5,0,,A:min,34,
5,2,,C:dom7,13,
6,0,,F:maj,6,
6,2,,C:maj,1,
6,2.5,,D:min7,27,
7,0,,C:maj,1,
7,0.75,,D:min7,27,
7,1,,C:maj,1,
7,2,,G:dom7,20,
8,0,,C:maj,1,
8,2,,A:min,34,
9,0,,B:dom7,24,
10,0,,B:dom7,24,
10,0.75,,E:min,29,
10,2,,A:min,34,
11,0,,B:dom7,24,
12,0,,B:dom7,24,
12,0.75,,E:min,29,
13,0,,G#:fdim,45,
14,0,,A:min,34,
14,2,,E:dom7,17,
14,2.5,,A:min,34,
15,0,,A:dom7,22,
15,1,,G:maj,8,
15,2,,D:dom7,15,
16,0,,G:maj,8,
16,0.75,,G:dom7,20,
17,0,,C:maj,1,
18,0,,G:maj,8,
18,0.75,,G:dom7,20,
19,0,,C:maj,1,
20,0,,G:maj,8,
21,0,,G:maj,8,
