小節,拍數(onset),調性,和弦,和弦編號,備註
1,0,G#,Ab:maj,9,
2,0,G#,Ab:maj,9,
3,0,G#,Db:maj,2,
3,1,G#,G:hdim,44,
3,2,G#,Ab:maj,9,
4,0,G#,Eb:dom7,16,
4,2,G#,Ab:maj,9,
5,0,G#,Bb:min7,35,
5,1,G#,Db:maj,2,
5,2,G#,Ab:maj,9,
5,3,G#,Eb:maj,4,
6,0,G#,Ab:maj,9,
7,0,G#,Ab:maj,9,
8,0,G#,Db:min,26,
8,0,B,Db:min,26,
8,1,G#,Bb:dim,47,
8,1,B,Bb:dim,47,
9,0,B,Db:min,26,
9,1,B,Gb:dom7,19,
9,2,B,Cb:maj,12,
9,3,B,Eb:dom7,16,
10,0,B,Fb:maj,5,
10,2,B,Cb:maj,12,
10,3,B,Gb:maj,7,
11,0,B,Cb:maj,12,
11,0,G#,Cb:maj,12,
12,0,B,Cb:maj,12,
12,0,G#,Cb:maj,12,
12,2,B,Eb:dom7,16,
12,2,G#,Eb:dom7,16,
13,0,B,Eb:dom7,16,
13,0,G#,Eb:dom7,16,
13,2,B,Ab:min,33,
13,2,G#,Ab:min,33,
13,3,B,Bb:dim,47,
13,3,G#,Bb:dim,47,
14,0,G#,Eb:dom7,16,
15,0,G#,Ab:maj,9,
