小節,拍數(onset),調性,和弦,和弦編號,備註
1,0,G,G:maj,8,
2,0,G,G:maj,8,
2,2.75,G,E:min,29,
3,0,G,E:min,29,
3,2,G,A:min,34,
4,0,G,D:maj,3,
4,0.75,C,A:min,34,
5,0,C,A:min,34,
5,2,C,C:dom7,13,
6,0,C,F:maj,6,
6,2,C,C:maj,1,
6,2.5,C,D:min7,27,
7,0,C,C:maj,1,
7,0.75,C,D:min7,27,
7,1,C,C:maj,1,
7,2,C,G:dom7,20,
8,0,C,C:maj,1,
8,0,e,C:maj,1,
8,2,e,A:min,34,
9,0,e,B:dom7,24,
10,0,e,B:dom7,24,
10,0.75,e,E:min,29,
10,2,e,A:min,34,
11,0,e,B:dom7,24,
12,0,e,B:dom7,24,
12,0.75,e,E:min,29,
13,0,G,G#:fdim,45,
14,0,G,A:min,34,
14,2,G,E:dom7,17,
14,2.5,G,A:min,34,
15,0,G,A:dom7,22,
15,1,G,G:maj,8,
15,2,G,D:dom7,15,
16,0,G,G:maj,8,
16,0.75,G,G:dom7,20,
17,0,G,C:maj,1,
18,0,G,G:maj,8,
18,0.75,G,G:dom7,20,
19,0,G,C:maj,1,
20,0,G,G:maj,8,
21,0,G,G:maj,8,
