小節,拍數(onset),調性,和弦,和弦編號,備註
1,0,C,C:maj,1,
1,1,C,A:min,34,
1,1.5,C,A:dom7,22,
1,2,C,D:min,27,
1,2.5,C,A:dom7,22,
1,3,C,D:min,27,
2,0,C,G:maj,8,
2,1.5,C,G:dom7,20,
2,2,C,C:maj,1,
2,2.5,C,G:dom7,20,
2,3,C,C:maj,1,
3,0,C,A:min,34,
3,2,C,E:dom7,17,
3,3,C,A:min,34,
4,0,C,A:min,34,
4,1.5,C,D:maj,3,
4,2,C,G:maj,8,
4,2.5,C,D:dom7,15,
4,3,C,G:maj,8,
5,0,C,C:min,25,
5,2,C,Eb:dom7,16,
6,0,C,Ab:maj,9,
6,0.875,C,X:It6,0,
6,2,C,G:maj,8,
7,0,C,C:maj,1,
7,1,C,A:min,34,
7,1.5,C,A:dom7,22,
7,2,C,D:min,27,
7,2.5,C,A:dom7,22,
7,3,C,D:min,27,
8,0,C,G:dom7,20,
8,2,C,C:maj,1,
8,2.5,C,G:dom7,20,
8,3,C,C:maj,1,
9,0,C,D:min,27,
9,2,C,G:maj,8,
9,2.5,C,G#:fdim,45,
9,3,C,A:min,34,
10,0,C,D:min,27,
10,1.875,C,C:maj,1,
10,2.5,C,G:dom7,20,
10,3,C,C:maj,1,
