小節,拍數(onset),調性,和弦,和弦編號,備註
1,0,A,A:maj,10,
2,0,A,A:maj,10,
2,1,A,F#:min,31,
2,1.5,A,A:maj,10,
3,0,A,D:maj,3,
3,1,A,A:maj,10,
4,0,A,E:dom7,17,
4,1,A,A:maj,10,
5,0,A,E:dom7,17,
5,1,A,A:maj,10,
6,0,A,A:maj,10,
6,1,A,F#:min,31,
6,1.5,A,A:maj,10,
7,0,A,D:maj,3,
7,1,A,A:maj,10,
8,0,A,E:dom7,17,
8,1,A,A:maj,10,
9,0,A,E:dom7,17,
9,1,A,A:maj,10,
9,1.5,A,E:maj,5,
10,0,A,E:maj,5,
11,0,A,F#:dom7,19,
12,0,A,B:min,36,
12,1,A,G#:hdim,45,
13,0,A,C#:maj,2,
13,0.75,A,G#:hdim,45,
13,1,A,C#:maj,2,
13,1.5,A,A:dom7,22,
14,0,A,A:dom7,22,
15,0,A,D:maj,3,
15,1,A,A:maj,10,
16,0,A,E:dom7,17,
16,1,A,A:maj,10,
17,0,A,E:dom7,17,
18,0,A,A:maj,10,
