小節,拍數(onset),調性,和弦,和弦編號,備註
1,0,G,G:maj,8,
1,2.5,G,D:maj,3,
2,0,G,C:maj,1,
2,1,G,G:maj,8,
3,0,G,D:maj,3,
3,1,G,E:min,29,
3,2,G,A:min,34,
4,0,G,B:maj,12,
5,0,G,E:dom7,17,
5,1,G,A:dom7,22,
6,0,G,D:dom7,15,
6,1,G,G:maj,8,
6,2,G,D:dom7,15,
7,0,G,G:maj,8,
7,1,G,C:maj,1,
7,2,G,A:dom7,22,
8,0,G,D:maj,3,
9,0,G,G:maj,8,
9,2.5,G,D:maj,3,
10,0,G,C:maj,1,
10,1,G,G:maj,8,
10,2,G,G:dom7,20,
11,0,G,C:maj,1,
11,1,G,G:maj,8,
11,2,G,C:maj,1,
12,0,G,F#:dom7,19,
13,0,G,B:dom7,24,
13,1,G,E:maj,5,
13,2,G,A:dom7,22,
14,0,G,D:maj,3,
14,1,G,G:maj,8,
14,2,G,C:maj,1,
15,0,G,A:min7,34,
15,2,G,D:dom7,15,
16,0,G,G:maj,8,
