小節,拍數(onset),調性,和弦,和弦編號,備註
1,0,G#,Ab:maj,9,
1,1,G#,Eb:dom7,16,
1,2,G#,Ab:maj,9,
1,3,G#,X:Ger6,0,
2,0,G#,Ab:maj,9,
2,1,G#,F:dom7,18,
2,3,G#,Bb:dom7,23,
3,0,G#,E:fdim,41,
3,1,G#,Bb:dom7,23,
3,2,G#,E:fdim,41,
3,3,G#,Bb:dom7,23,
4,0,G#,Eb:dom7,16,
4,1,G#,C:min,25,
4,2,G#,Eb:dom7,16,
4,3,G#,Eb:fdim,40,
5,0,G#,Eb:dom7,16,
5,3,G#,Bb:dom7,23,
6,0,G#,Eb:dom7,16,
6,1,G#,Ab:maj,9,
6,2,G#,Eb:dom7,16,
6,3,G#,Ab:maj,9,
7,0,G#,Eb:dom7,16,
7,1,G#,Ab:maj,9,
7,2,G#,G:hdim,44,
7,3,G#,E:dom7,17,
8,0,G#,Ab:maj,9,
8,1,G#,Eb:dom7,16,
8,2,G#,Ab:maj,9,
8,3,G#,X:Ger6,0,
9,0,G#,X:Ger6,0,
