小節,拍數(onset),調性,和弦,和弦編號,備註
1,0,g,G:min,32,
1,0.5,g,F#:dim,43,
1,1,g,G:min,32,
1,2,g,D:maj,3,
1,3,g,G:min,32,
2,0,g,F#:dim,43,
2,1,g,G:min,32,
2,2,g,A:hdim,46,
2,3,g,D:dom7,15,
3,0,g,G:min,32,
3,3,g,Eb:maj,4,
4,0,g,A:hdim,46,
4,0.5,g,D:maj,3,
4,1,g,C:min,25,
4,2,g,F#:dim,43,
4,3,g,G:min,32,
5,0,g,D:maj,3,
6,0,g,D:maj,3,
6,1,g,G:min,32,
6,2,F,C:maj,1,
6,3,F,F:maj,6,
7,0,F,Bb:maj,11,
7,1,F,G:min7,32,
7,2,F,C:dom7,13,
8,0,F,F:maj,6,
8,2,F,Bb:maj,11,
8,3,F,F:maj,6,
9,0,A#,Bb:maj,11,
9,2,A#,Eb:maj,4,
9,3,A#,G:min,32,
10,0,A#,C:min,25,
10,1,A#,F:dom7,18,
10,2,A#,Bb:maj,11,
11,0,A#,F:maj,6,
11,1,A#,G:min,32,
11,2,A#,F:dom7,18,
11,3,A#,Bb:maj,11,
12,0,A#,D:dom7,15,
12,1,g,G:min,32,
12,2,g,D:maj,3,
13,0,g,G:min,32,
13,1,g,D:maj,3,
13,2,g,G:min,32,
13,3,g,C:min,25,
13,3.5,g,G:min,32,
14,0,g,A:hdim,46,
14,1,g,D:maj,3,
14,2,g,G:maj,8,
