小節,拍數(onset),調性,和弦,和弦編號,備註
1,0,C,C:maj,1,
2,0,C,X:ger6,0,
2,0.5,C,G:maj,8,
2,1,C,X:it6,0,
3,0,C,X:it6,0,
3,0.5,C,G:maj,8,
3,1,C,X:it6,0,
4,0,C,X:it6,0,
4,0.5,C,G:dom7,20,
4,1,C,X:ger6,0,
4,1.5,C,G:maj,8,
5,0,C,X:ger6,0,
5,0.5,C,G:dom7,20,
5,1,C,X:ger6,0,
5,1.5,C,G:maj,8,
6,0,C,C:dom7,13,
7,0,C,A:dom7,22,
8,0,C,C#:dim,38,
8,0.5,C,D:min,27,
8,1,C,C#:fdim,38,
8,1.5,C,D:min,27,
9,0,C,C#:fdim,38,
9,0.5,C,D:min,27,
9,1,C,C#:fdim,38,
9,1.5,C,D:min,27,
10,0,C,D:min,27,
10,0.5,C,F#:fdim,43,
11,0,C,F#:fdim,43,
11,1.5,C,G:maj,8,
12,0,C,C:maj,1,
