小節,拍數(onset),調性,和弦,和弦編號,備註
1,0,A#,A:hdim,46,
2,0,A#,Bb:maj,11,
2,2.5,A#,A:hdim,46,
3,0,A#,Bb:maj,11,
3,2.5,A#,A:hdim,46,
4,0,A#,Bb:maj,11,
4,1,A#,B:fdim,48,
4,2,A#,C:min,25,
4,3,A#,D:hdim,39,
5,0,A#,Eb:maj,4,
5,1,A#,B:fdim,48,
5,2,A#,C:min,25,
5,3,A#,D:hdim,39,
6,0,A#,Eb:maj,4,
6,1,A#,D:hdim,39,
6,2.5,A#,Eb:maj,4,
6,3,A#,D:hdim,39,
7,0,A#,D:hdim,39,
8,0,A#,Eb:maj,4,
8,3,A#,E:fdim,41,
9,0,A#,Bb:maj,11,
9,2,A#,F:dom7,18,
10,0,A#,Bb:maj,11,
11,0,A#,X:ger6,0,
12,0,A#,Bb:maj,11,
13,0,A#,X:Ger6,0,
14,0,A#,Bb:maj,11,
15,0,A#,Bb:maj,11,
