小節,拍數(onset),調性,和弦,和弦編號,備註
1,0,,C:maj,1,
2,0,,C:maj,1,
3,0,,G:dom7,20,
3,2,,B:fdim,48,
4,0,,C:min,25,
4,2,,Ab:dom7,21,
5,0,,Db:maj,2,
5,2,,Ab:dom7,21,
6,0,,Db:maj,2,
6,2,,Ab:dom7,21,
7,0,,Db:maj,2,
7,2,,Ab:dom7,21,
8,0,,Db:maj,2,
8,2,,Ab:dom7,21,
9,0,,Db:maj,2,
9,2,,Ab:dom7,21,
10,0,,Db:maj,2,
10,2,,F:min,30,
11,0,,B:fdim,48,
11,2,,C:min,25,
12,0,,D:hdim,39,
12,2,,C:dom7,13,
13,0,,F:min,30,
13,2,,F#:fdim,43,
14,0,,C:maj,1,
14,3,,D:min,27,
14,3.5,,F#:fdim,43,
15,0,,C:maj,1,
15,2,,G:dom7,20,
16,0,,C:maj,1,
16,3,,D:min,27,
16,3.5,,F#:fdim,43,
17,0,,F#:fdim,43,
17,2,,G:dom7,20,
18,0,,C:maj,1,
