小節,拍數(onset),調性,和弦,和弦編號,備註
1,0,G,G:maj,8,
2,0,G,G:maj,8,
2,1,C,D:maj,3,
2,2,C,G:maj,8,
2,3,C,C:maj,1,
3,0,C,F:maj,6,
3,1,G,G:maj,8,
3,2,G,C:maj,1,
3,3,G,G:maj,8,
4,0,G,D:dom7,15,
4,1,G,E:min,29,
4,2,G,C:maj,1,
5,0,G,G:maj,8,
5,2,G,D:maj,3,
5,3.5,G,D:dom7,15,
6,0,G,G:maj,8,
7,0,D,D:dom7,15,
7,1,D,B:maj,12,
7,2,D,E:min,29,
7,3,D,A:maj,10,
7,3.5,D,A:dom7,22,
8,0,D,D:maj,3,
8,1,D,C#:dim,38,
8,2,G,D:maj,3,
8,3,G,B:maj,12,
9,0,G,E:min,29,
9,1,G,C:maj,1,
9,2,G,G:maj,8,
9,3,G,E:min,29,
10,0,G,E:min,29,
10,1,G,G:maj,8,
10,2,G,D:maj,3,
10,3.5,G,D:dom7,15,
11,0,G,G:maj,8,
